artist,album,track_name,energy,valence,danceability,speechiness,acousticness,popularity,duration
Joe Flizzow,"Sang Saka Biru (From ""Polis Evo 2: Jaga Jaga Boh"")","Sang Saka Biru (From ""Polis Evo 2: Jaga Jaga Boh"")",0.631,0.849,0.737,0.413,0.214,46,202.247
Jamule,LSD,Guapa de Sevilla,0.387,0.185,0.644,0.093,0.693,59,172.899
Mariah Carey,Merry Christmas,All I Want for Christmas Is You,0.625,0.346,0.335,0.0386,0.164,64,241.107
Pritam,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],Bulleya,0.769,0.702,0.552,0.0465,0.497,58,348.966
Taylor Swift,Lover,Lover,0.543,0.453,0.359,0.0915,0.492,9,221.307
Nik Tendo,Není Limit,Není Limit,0.704,0.672,0.675,0.24,0.341,47,120
Mads Langer,Me Without You,Me Without You,0.891,0.963,0.676,0.0342,0.00252,0,179.88
Sammi Cheng,Faith 信,不要驚動愛情,0.414,0.354,0.425,0.0355,0.469,47,229.507
Tiago Iorc,Reconstrução,Desconstrução,0.238,0.236,0.653,0.0549,0.105,56,283.787
Bolaget,Fem Komma Tvåan,Fem Komma Tvåan,0.435,0.268,0.577,0.18,0.504,61,158.897
MOTi,Stay (feat. Alida),Stay (feat. Alida),0.82,0.48,0.675,0.0541,0.121,47,122.344
Kevin,Paraplu,Paraplu,0.481,0.478,0.567,0.349,0.0692,42,201.18
Sigurður Guðmundsson,Nú stendur mikið til,Nú mega jólin koma fyrir mér,0.31,0.569,0.45,0.0355,0.968,4,251.983
Żabson,Młody Boss,Młody Boss,0.66,0.67,0.893,0.0548,0.384,66,248.571
kizaru,Karmageddon,Deep End,0.832,0.678,0.865,0.337,0.0959,40,272.847
Ian,Trei Ligheane,Trei Ligheane,0.419,0.373,0.937,0.336,0.0139,39,164.5
TINA LTT,Memory,Memory,0.568,0.561,0.642,0.0607,0.991,8,293.92
John Daniels Band,Fox and Hare,Fox and Hare,0.45,0.215,0.666,0.053900000000000003,0.746,33,175.082
Fler,Stress ohne Grund 2019,Stress ohne Grund 2019,0.556,0.327,0.901,0.268,0.151,33,174.222
Farina,Así Así,Así Así,0.758,0.737,0.674,0.11,0.0445,61,195.492
Gzuz,Gzuz,Verkackt,0.805,0.261,0.774,0.302,0.0509,65,136.974
Enzo Dong,Dio perdona io no,Bandito,0.762,0.447,0.793,0.0591,0.333,60,195.455
RAF Camora,Maschine,Maschine,0.794,0.647,0.814,0.0887,0.119,66,150.388
24kGoldn,VALENTINO,VALENTINO,0.718,0.539,0.745,0.183,0.197,74,179.133
Tuğba Yurt,Sığınak,Vurkaç,0.858,0.318,0.714,0.0581,0.016,52,200.331
Sebastian Yatra,FANTASÍA,Elena,0.44,0.478,0.414,0.26,0.302,56,155.093
Lars Winnerbäck,Skulle aldrig hända oss,Skulle aldrig hända oss,0.828,0.827,0.463,0.0342,0.00646,0,364.2
Snelle,Reünie,Reünie,0.35,0.509,0.508,0.152,0.674,63,172.063
Joker Xue,笑場,笑場,0.507,0.353,0.535,0.0371,0.7,41,272.481
Los Tipitos,Armando Camaleón,Campanas en la Noche,0.593,0.742,0.636,0.0567,0.303,61,237.547
Enes Batur,Dolunay,Dolunay,0.594,0.273,0.711,0.09,0.358,60,182.037
Justin Jesso,Let It Be Me - EP,Getting Closer,0.562,0.513,0.66,0.0765,0.142,56,181.333
Hikaru Utada,Face My Fears,Face My Fears - English Version,0.751,0.44,0.628,0.0991,0.0105,61,222.013
SSIO,MESSIOS,Shishabar Hit,0.91,0.736,0.721,0.183,0.131,4,183.053
Joe Flizzow,Sang Saka Biru,Sang Saka Biru,0.63,0.862,0.732,0.405,0.211,0,202.247
PRO8L3M,Interpol,Interpol,0.889,0.455,0.621,0.361,0.659,35,193.98
D-Block Europe,PTSD,Repentance,0.567,0.198,0.867,0.269,0.448,48,215.951
Dewa,Bintang Lima,Risalah Hati,0.606,0.515,0.477,0.0253,0.106,60,292.56
Dree Low,FLAWLESS 2,SOLSIDAN,0.562,0.675,0.604,0.218,0.0495,50,128.998
El Alfa,El Hombre,Con Silenciador,0.806,0.395,0.965,0.237,0.578,48,174.854
Bilal Wahib,Vliegen,Vliegen,0.834,0.347,0.743,0.0924,0.165,61,129.062
Lacrim,Tiguere 3 (Freestyle),Tiguere 3 (Freestyle),0.772,0.581,0.568,0.829,0.217,46,169.714
